MapID,area,drinking,smoking,activity,obesity,sleeping,borough,display_name
1,New York City,15.8,17.4,29,26.6,41.3,NA,New York City
5,Bronx,13.7,21,36.1,35.6,42.3,NA,Bronx
47,Brooklyn,16.1,19.2,30.1,26.3,43.6,NA,Brooklyn
61,Manhattan,19.5,13.9,21.3,20.5,37,NA,Manhattan
81,Queens,13.9,15.5,30,25.1,41.5,NA,Queens
85,Staten Island,16.4,17.7,23.9,28.9,38.9,NA,Staten Island
10451,10451 - Melrose,12.6,22.5,39.8,38.3,43.7,5,10451
10452,10452 - Highbridge,13.3,23.4,40.3,39.3,44.2,5,10452
10453,10453 - Morris Heights,13.4,23.1,39.7,39.2,44.2,5,10453
10454,10454 - Mott Haven/Port Morris,12.9,24.5,43.6,39.8,43.8,5,10454
10455,10455 - The Hub/Longwood,13.2,23.2,41.7,39,43.4,5,10455
10456,10456 - Morrisania,12.4,25.3,42.1,40.8,45.6,5,10456
10457,10457 - Tremont/East Tremont,13.1,23.4,40.3,39,44.2,5,10457
10458,10458 - Belmont/Fordham/Bedford Park,14.5,23,38.2,36,42.8,5,10458
10459,10459 - Longwood/Morrisania,13.1,23.3,41.2,38.9,43.7,5,10459
10460,10460 - West Farms/Crotona,12.9,24,41.5,39.3,44.1,5,10460
10461,10461 - Westchester/Morris Park,15.7,16.7,28.2,27,36.8,5,10461
10462,10462 - Parkchester/Van Nest,14.3,18.2,31.5,31.4,40.8,5,10462
10463,10463 - Kingsbridge (Bronx only),14.6,14.3,27.1,27.4,35.3,5,10463
10464,10464 - City Island,16.4,12.6,20.7,23.8,32,5,10464
10465,10465 - Throgs Neck/Country Club,16.4,16.9,28,28,36.3,5,10465
10466,10466 - Wakefield,12.8,20.9,33.4,37.1,45.3,5,10466
10467,10467 - Norwood/Williamsbridge,13.8,20.6,34.8,34.7,42.8,5,10467
10468,10468 - University Heights,14,20.2,36.9,35,41.8,5,10468
10469,10469 - Williamsbridge/Baychester,13.6,17.8,30.1,33.4,42.4,5,10469
10470,10470 - Woodlawn/Wakefield,16.1,17.7,26.2,29.3,39.1,5,10470
10471,10471 - Riverdale/Fieldston,15.3,12.2,22,23.3,32.3,5,10471
10472,10472 - Soundview,13.3,22.5,39.8,36.4,43.3,5,10472
10473,10473 - Clasons Point,13.2,19,35.4,36,42.1,5,10473
10474,10474 - Hunts Point,14.6,23.6,39.5,38.4,43.9,5,10474
10475,10475 - Co-op City/Eastchester,11.7,15.8,31,34.3,41.3,5,10475
11201,11201 - Brooklyn Heights/Cobble Hill,20.2,12.5,18.8,19.7,36.9,47,11201
11203,11203 - East Flatbush,13.9,19.2,31,32.7,49.3,47,11203
11204,11204 - Parkville/Bensonhurst,15.7,20.2,31.6,20.8,41.2,47,11204
11205,11205 - Fort Greene,18.3,20.7,28.4,26.9,43.7,47,11205
11206,11206 - Williamsburg/Bedford-Stuyvesant,16.8,22.6,34.6,29.3,45,47,11206
11207,11207 - East New York,14.4,22.7,36.4,33.9,49.1,47,11207
11208,11208 - Cypress Hills,14.3,22.1,37.6,32.1,48.4,47,11208
11209,11209 - Bay Ridge,18.1,15.6,23.7,20.6,37.6,47,11209
11210,11210 - Vanderveer,16.1,17.4,26.8,27.7,44.4,47,11210
11211,11211 - Williamsburg,19.9,21.1,28.3,24.4,40.1,47,11211
11212,11212 - Brownsville,13,24.4,37.6,36.3,51.6,47,11212
11213,11213 - Brower Park/Crown Heights,14.8,22.3,33.2,32.9,48.8,47,11213
11214,11214 - Bath Beach/Bensonhurst,14.8,18.2,31.1,19.6,41,47,11214
11215,11215 - Park Slope/Windsor Terrace,21.8,11.7,16.3,18.6,35.3,47,11215
11216,11216 - Bedford-Stuyvesant,16,18.8,27.9,30.3,47.3,47,11216
11217,11217 - Park Slope/Gowanus,19.9,14.1,20.6,22.1,38.7,47,11217
11218,11218 - Kensington/Windsor Terrace,16.6,18.8,28.8,22.8,41.4,47,11218
11219,11219 - Borough Park,15.4,24.3,36.4,23.1,43.1,47,11219
11220,11220 - Sunset Park,13.3,22.1,39.8,22.5,46,47,11220
11221,11221 - Bushwick/Bedford-Stuyvesant,15.5,21,34,31.8,47.3,47,11221
11222,11222 - Greenpoint,22.6,15.1,19.1,19.9,36.7,47,11222
11223,11223 - Gravesend/Homecrest,15.9,18.8,30.1,21.4,40.4,47,11223
11224,11224 - Coney Island,13.2,18.9,33.9,26.8,41.3,47,11224
11225,11225 - Crown Heights,15.2,19.3,29.4,31.1,47.5,47,11225
11226,11226 - Flatbush,14.8,20.3,31.4,31.8,48.6,47,11226
11228,11228 - Dyker Heights,16,17,27.9,19.4,39.4,47,11228
11229,11229 - Homecrest/Madison,16.1,16.4,26.8,20.6,38.6,47,11229
11230,11230 - Midwood,16.5,17.9,27.5,22.3,39.3,47,11230
11231,11231 - Carroll Gardens/Red Hook,20.1,14.7,21.9,22.2,38.1,47,11231
11232,11232 - Industry City/Sunset Park,17.9,20.3,33.5,25.2,43.7,47,11232
11233,11233 - Stuyvesant Heights,13.9,23.3,35,34.9,50.8,47,11233
11234,11234 - Flatlands/Mill Basin,16.8,16,24.8,25,41.9,47,11234
11235,11235 - Sheepshead Bay/Brighton Beach,15.4,15.4,26.4,21.1,37,47,11235
11236,11236 - Canarsie,14.8,18.2,28.5,30.8,48.3,47,11236
11237,11237 - Bushwick,17.9,21.1,34.9,27.9,44,47,11237
11238,11238 - Prospect Heights,18.9,14.5,21,24.1,41.5,47,11238
11239,11239 - Starrett City,11.2,18.4,35.6,30.2,44.1,47,11239
10001,10001 - Fur-Flower District,21.7,11.6,16,16.7,34.9,61,10001
10002,10002 - Chinatown/Lower East Side,13.3,18.3,34.3,18.9,42.5,61,10002
10003,10003 - Cooper Square/Union Square,23.9,11.4,13.8,15.1,33.4,61,10003
10004,10004 - Battery/Governors Island,27.3,9.9,10.8,13.7,33.7,61,10004
10005,10005 - Wall Street,27.9,9.9,10.4,13,33.5,61,10005
10006,10006 - Trinity,28.1,9.6,10.2,13.2,33.9,61,10006
10007,10007 - City Hall,25.2,10.5,13.1,15.1,34.4,61,10007
10009,10009 - East Village/Stuyvesant Town,19.9,14.3,21.6,19.8,36.8,61,10009
10010,10010 - Madison Square/Cooper Village,22.6,11.8,15.4,16.2,34.4,61,10010
10011,10011 - Chelsea,22.5,11.1,14.6,17.3,33.6,61,10011
10012,10012 - Village/Noho/Soho,22.9,11.2,14.7,15.2,33.6,61,10012
10013,10013 - Tribeca/Chinatown,19.9,13.1,20.2,15.5,36.8,61,10013
10014,10014 - Greenwich Village,24.2,10.2,12.4,16.1,32.3,61,10014
10016,10016 - Murray Hill,22.9,10.3,13.6,14.9,33,61,10016
10017,10017 - Grand Central/United Nations,21.8,9.2,12.9,14.6,32.5,61,10017
10018,10018 - Garment District,23,12.4,15.9,16.1,37.2,61,10018
10019,10019 - Midtown/Clinton,21.6,11.4,15.8,16.6,34.5,61,10019
10020,10020 - Rockefeller Center,18.5,9.3,15.1,16.1,31.7,61,10020
10021,10021 - Lenox Hill,20.5,9.2,13.4,15.7,31.1,61,10021
10022,10022 - Sutton Place/Beekman Place,20,8.7,13.3,15.3,30.7,61,10022
10023,10023 - Lincoln Center/Ansonia,20.5,9.4,13.8,16.1,32.1,61,10023
10024,10024 - Upper West Side,20.3,10,14.5,17.3,32.1,61,10024
10025,10025 - Cathedral,18.8,12.5,19.3,19.8,35.3,61,10025
10026,"10026 - Central Harlem, South",17.2,19.6,27.2,28.7,45,61,10026
10027,10027 - Manhattanville,18.4,18.1,25.8,25.6,42.5,61,10027
10028,10028 - Yorkville,21,9.2,13,15.8,31.1,61,10028
10029,"10029 - East Harlem, South",16.3,19.1,31.7,27.5,42.7,61,10029
10030,"10030 - Central Harlem, Middle",16.2,21.6,29.8,31.5,47.5,61,10030
10031,10031 - Hamilton Heights,17.5,18.8,30.1,28.4,42.8,61,10031
10032,10032 - South Washington Heights,17.1,18.3,31.5,27.5,41.3,61,10032
10033,10033 - Washington Heights,18.6,16.6,28.9,25.4,39.1,61,10033
10034,10034 - Inwood,17.7,17.8,30.8,27.2,40.6,61,10034
10035,"10035 - East Harlem, Middle",15.6,23,35.6,31.7,45.8,61,10035
10036,10036 - Theatre District/Clinton,22.4,12.7,16.9,18.1,36.2,61,10036
10037,"10037 - East Harlem, North",14.7,18.4,28.7,30.4,46,61,10037
10038,10038 - South St. Seaport/Chinatown,19,14.2,24.8,16.4,37.8,61,10038
10039,"10039 - Central Harlem, North",15,22.1,32.8,32.5,47.8,61,10039
10040,10040 - North Washington Heights,18.2,15.4,27.9,24.8,38.7,61,10040
10044,10044 - Roosevelt Island,18.4,12.4,19.1,18.8,37,61,10044
10128,10128 - Yorkville,21.2,10.1,14.1,16.3,32.4,61,10128
10280,10280 - Battery Park City,23.5,9,11.9,14.6,33.5,61,10280
10463,10463 - Kingsbridge (Manhattan only),16,18.5,32.6,29.7,42.7,61,10463
11001,11001 - Floral Park,13.2,12.2,25.7,18.4,37.8,81,11001
11004,11004 - Glen Oaks,11.8,11.6,26.8,18.8,37.3,81,11004
11005,11005 - North Shore Towers,11.7,10,24.9,19.4,34.1,81,11005
11040,11040 - New Hyde Park,11.8,11.1,25.9,18.4,36.6,81,11040
11101,11101 - Long Island City/Hunters Point,16.2,16.1,28.2,26,41,81,11101
11102,11102 - Old Astoria,16.9,16.4,27.3,24.8,39.6,81,11102
11103,11103 - Astoria,18.4,14.8,23.3,22.3,37.6,81,11103
11104,11104 - Sunnyside,15.6,14,26.4,22.2,39,81,11104
11105,11105 - Steinway,17.7,14.7,23.4,22.6,36.8,81,11105
11106,11106 - Ravenswood,16.1,15.3,26.9,24,39.1,81,11106
11354,11354 - Flushing,10,14.6,35.2,18.8,42.5,81,11354
11355,11355 - Flushing/Murray Hill,8.9,16.1,38.5,18.2,44.8,81,11355
11356,11356 - College Point,14,15.4,30.9,23.4,40.5,81,11356
11357,11357 - Whitestone,14.4,13,25.3,20.7,36.2,81,11357
11358,11358 - Auburndale,12.9,13.1,27.6,19.2,38.9,81,11358
11360,11360 - Bay Terrace,12.6,10.3,23.5,19.3,34.2,81,11360
11361,11361 - Bayside,13.9,12.1,25,19.2,37.7,81,11361
11362,11362 - Little Neck,12.4,10.5,24,18,35.8,81,11362
11363,11363 - Douglaston,13.5,10.3,22.4,18.7,35.3,81,11363
11364,11364 - Oakland Gardens/Bayside Hill,12.1,11.2,25.6,17.5,37.8,81,11364
11365,11365 - Fresh Meadows,12.2,12.9,28.2,19.5,39.8,81,11365
11366,11366 - Utopia/Fresh Meadows,12.6,12.1,26.6,19.1,38.5,81,11366
11367,11367 - Kew Garden Hills,15,14.6,27.1,22.7,38.9,81,11367
11368,11368 - Corona,15.5,18.8,37.3,31.1,43.9,81,11368
11369,11369 - East Elmhurst,15,15.1,32.6,29.6,42.1,81,11369
11370,11370 - Jackson Heights-Rikers Island(Queens only),14.8,15,30.9,24.2,40.3,81,11370
11372,11372 - Jackson Heights,14,14.9,32.4,26.2,40.5,81,11372
11373,11373 - Elmhurst,12.4,15.5,34.4,22,42.8,81,11373
11374,11374 - Rego Park,13.8,11.8,24.5,20.2,36.8,81,11374
11375,11375 - Forest Hills,14.1,10.8,22.4,19.6,35.4,81,11375
11377,11377 - Woodside,13.7,15.2,31.3,22.4,41.3,81,11377
11378,11378 - Maspeth,16.6,15.8,26.9,24.2,38.1,81,11378
11379,11379 - Middle Village,16.2,15.1,25.5,23.8,36.2,81,11379
11385,11385 - Ridgewood/Glendale,16.8,17.3,29.6,27,39.7,81,11385
11411,11411 - Cambria Heights,12.9,14.2,26.9,32.7,45.9,81,11411
11412,11412 - St. Albans,13.3,16.2,28.8,33.8,47.6,81,11412
11413,11413 - Springfield Gardens/Laurelton,13.4,15.9,28,33.5,47.2,81,11413
11414,11414 - Howard Beach,15.5,14.7,26,24,35.8,81,11414
11415,11415 - Kew Gardens,15.8,12.8,23.7,22.7,37.5,81,11415
11416,11416 - Ozone Park/Woodhaven,14.7,16.1,30.9,25.2,42.3,81,11416
11417,11417 - Ozone Park,14.6,16.8,30.7,25.2,41.7,81,11417
11418,11418 - Richmond Hill,14.7,16.1,30.9,25.6,42,81,11418
11419,11419 - South Richmond Hill,12.7,19.4,34.1,25.3,46.1,81,11419
11420,11420 - South Ozone Park,13.3,18.8,32.7,27.9,45.8,81,11420
11421,11421 - Woodhaven,15.3,14.9,30.3,25.9,40.7,81,11421
11422,11422 - Rosedale,14.2,15.3,26.2,32.1,46.3,81,11422
11423,11423 - Hollis/Holliswood,12.8,16.3,30.4,27.8,44.6,81,11423
11426,11426 - Bellerose,13.3,12.4,26,19.4,38.8,81,11426
11427,11427 - Queens Village/Creedmoor,12.6,13.9,28.4,23.7,41.6,81,11427
11428,11428 - Queens Village,13.5,15.8,29.9,25.1,43.7,81,11428
11429,11429 - Queens Village (South),13.2,17,30.3,33.6,47.2,81,11429
11430,11430 - JFK Airport,16.8,16.1,25.5,24.5,36.7,81,11430
11432,11432 - Jamaica/Hillcrest,12.4,15.9,32.3,24.2,43,81,11432
11433,11433 - South Jamaica,12.9,19.4,33.3,34.2,48.2,81,11433
11434,11434 - Rochdale/Baisley Park,12.7,17.1,30.6,34.7,47.8,81,11434
11435,11435 - Jamaica Hills/South Jamaica,13.9,16.7,31.2,27.5,43.4,81,11435
11436,11436 - South Ozone Park,13.5,18.2,31.1,33.1,48.1,81,11436
11691,11691 - Far Rockaway,13.4,20,34.6,33.5,45.2,81,11691
11692,11692 - Arverne,12.6,20.7,35.3,35.6,47.4,81,11692
11693,11693 - Hammels/Broad Channel,15.3,17.8,28.4,28.9,41.3,81,11693
11694,11694 - Seaside/Belle Harbour/Neponsit,15.9,13.9,24,24.4,35.9,81,11694
11697,11697 - Rockaway Point/Roxbury,15.4,11.6,20.9,21.7,32.4,81,11697
10301,10301 - New Brighton/Grymes Hill,15.3,18.6,26.4,31.9,40.9,85,10301
10302,10302 - Port Richmond,15.8,19.8,28.4,33.9,42.1,85,10302
10303,10303 - Mariners Harbour/Point Ivory,14.5,21,30.3,36.4,45.5,85,10303
10304,10304 - Stapleton/Fox Hills,14.2,19.6,28.7,32.4,42.4,85,10304
10305,10305 - Rosebank,16.2,17.6,23.9,27.8,38.4,85,10305
10306,10306 - New Dorp/Richmondtown,16.8,16.5,22.1,27,36.5,85,10306
10307,10307 - Tottenville,18.9,17.1,19.9,27.3,36.9,85,10307
10308,10308 - Great Kills,17.5,17.2,21.4,27.2,36.5,85,10308
10309,10309 - Princes Bay/Woodrow,18.5,17.6,20.7,27.4,37.2,85,10309
10310,10310 - West New Brighton,15.4,18.8,26.8,32.6,41.4,85,10310
10312,10312 - Eltingville/Annadale,17.8,16.7,20.8,26.6,36.6,85,10312
10314,10314 - Castleton Corners/New Springvill,16,16.4,23,26.3,37.7,85,10314
